Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
Ông,Lê Duy,Tràm Chim,30.000.000đ
Ông,Minh Hoài,Mỹ Thọ,30.000.000đ
Ông,Nhật Anh,Thanh Bình,30.000.000đ
Ông,Phú Quí,Trà Vinh,30.000.000đ
Bà,Thanh Thảo,Sa Đéc,30.000.000đ
Ông,Lê Quang Nhân,THPT Thống Linh,30.000.000đ
